date,newspaper title,search term,sequence,text,language,article title
1883-05-24,0000453- The Evening Telegraph,krakatoa,1,"VOLCANIC ERUPTION. Rata via, Thursday. A violent eruption ha* been going on since Sun- day last on the Island of Krakatoa, near Anjer, in the Straits of Sunda. ' i;t "" , .",English,VOLCANIC ERUPTION.
1883-05-25,0000327- The Derby Daily Telegraph,krakatoa,1,"VOLCANIC ERUPTION IN THE STRAITS OF SUNDA. A Reuter's telegram from Batavia states that a violent eruption has been going on since Sunday last on the island of Krakatoa, near Adjer, in the Straits of Sunda. An Exchange Company's tele- gram from the Eame place says : —The detona- tions are heard hundreds of miles away. _ The doors and windows of the houses in Batavia are violently shaken. It is 200 years since the last eruption of this volcano took place.",English,VOLCANIC ERUPTION IN THE STRAITS OF SUNDA.
1883-08-27,0000321- Nottingham Evening Post,krakatoa,1,"ALARMING VOLCANIC DISTURBANCES. DISTURBANCES. A Calamity Apprehended. 1 beuter's teleqbam. ! Batavia, Monday Noon. Terrific detonations from the volcanic inland of Krakatoa were heard last night, and were audible as far as Soerakarta, showers of ashes falling as far an Cherbon. The flashes from the volcano are plainly visible from hero. Serang is now in total darkness. Stones have fallen at that place. Batavia is also nearly in darkness. All the gas lights were extinguished during the night. It is impossible to communicate with Anjer. It is feared that some calamity h'S happened there. Several bridges between Anjer and St-rang have been destroyed, and a village near the former place has been washed away, the rivers having oveiflowed through the rush of tha urn inland.",English,ALARMING VOLCANIC DISTURBANCES.
1883-08-27,0000325- The Citizen Gloucester,krakatoa,1,"TERRIBLE VOLCANIC DISTURBANCE IN THE WEST INDIES : A VILLAGE WASHED AWAY. SECOND EDITION. [TO-DAYS TELEGRAMS.] Batavia, Aug. 27. Terrific detonations from the volcanic island of Krakatoa were heard last night. Xatavia is nearly i» darkness. It is impossible to communicate with Anje*» and it is feared some calamity has happened there. A village near Anjer has been washed away.",English,TERRIBLE VOLCANIC DISTURBANCE IN THE WEST INDIES : A VILLAGE WASHED AWAY.
1883-08-28,0000321- Nottingham Evening Post,krakatoa,1,"THE VOLCANIC ERUPTION. r • -Manager. 2473 c "" OFFICII, ""^s""~ > ~~~ v Tuesday, 5.30 F-n«_ Disastrous Tidal Wave. LRET/TES's T£Xt£QKAM.I The errant' Batavia, Tuesday. S eric ed or! ft ° f Krakatoa volcano, which com- rthB Batn t 16 26th ' is of a formidable character, 13 suff ering heavily from a denee ltone » which 1 ° f aBhes ' mvd ' anJ P umice Crc -Wd 8 , bes d almosfc ruined the crops and A lidal w^ 08 dama^'in g th e roads and brid-ts. u art»i r o{ .Va ''as swept away the European + rele gr,-. phic c ]ox > and the Chinese camp at Merek, tWee n B anta^ min unication is now interrupted bo- itKS f °r BeverT dtllis cifcy ' Batavi * was iv dark "" !f lck r ain of a } / WU * yesterday, owing :o the -he IOH-erl 0Her 8 les proceeding from the volcano, j J v a tidal * 0f tlie Clt >' llave been swam P ed mu Sod. WaVe ' b «t the entrepots are not j TlT*",English,THE VOLCANIC ERUPTION.
1883-08-28,0000452- Edinburgh Evening News,krakatoa,1,"GREAT VOLCANIC ERUPTION IN THE EAST INDIES. A Keuter's telegram from Eatavia, dated nooa ye-terday..=tates that terrific detonations from thd volcanic isiaad of Krakatoa, mid way between Sujaatra and Java, were heard last night, an J were audible as far as Soerakarta, showers ol ashes falling as far as Cheribon. The Cashes from the volcano are plainly visible from Eatavia. Serang is now in total darkness. Stones hays fallen at that place. Eatavia u also nearly ia darkness. All the gag lights wera extinguished during the night. It is impossible to communicate with An'er, and rt is feared that soma calamity has happened there. everal bridges between An;«r and Serang havo been destroyed, and a village near the lormer place has been waihefl away, the rivers having over, owed through tti rush of sea inland.",English,GREAT VOLCANIC ERUPTION IN THE EAST INDIES.
1883-08-28,0000325- The Citizen Gloucester,krakatoa,1,"THE VOLCANIC DISTURBANCES IN THE EAST INDIES. Batavia, Aug. 28. The eruption of the Krakatoa volcano is of a formid- able character. The north Bantam is suffering heavily. A tidal wave has swept away the European quarter of Anjer, and the lower quarters of Batavia have also been swamped by a tidal wave.",English,THE VOLCANIC DISTURBANCES IN THE EAST INDIES.
1883-08-28,0000327- The Derby Daily Telegraph,krakatoa,1,"SUMMARY. ®be Her bp ®axlg ®eUjraplj DERBY, August 28, 1883. Tbe Tir National at Brassels closes to-day, and the English competitors expect several prizes. A despatch has been received by the London Missionary Sooiety, announcing that the Qaeen of Madagascar died on the 13th of J aly. A violent volcanic eruption, resulting in the destruction of a village, has occurred at the island of Krakatoa. Further Jew-baiting atrooities are reported from Hungary. At Zala Egerszeg, the rioters attaoked both the military and Jews, and there was considerable loss of life. Mr. Davenport-Handley (L), and Mr. J. W. Lowther ((J), were yesterday nominated for the vaoancy in the representation of the oounty of Rutland. Biobmond, in Surrey, and Cardiff, as well *9 Northampton and one or two other towns, are now troubled concerning the imperfeot water supply. Anti-Magyar disturbances have taken place in Croatia. The peasants tore down tbe Government notice boards) as a sign that they did not reoognise the Haogarian Crown. Several persons were killed. Official information oonfirms the report of the rising of the Gbilzais against the authority of the Ameer. Tbe rumoured assassination of Adurrahman arose in consequence of the discovery of a plot having that object. r — At tbe Ripley Patty Sessions a step-mother was committed fcr trial at tbe next Darby* shire Sessions, oharged with gross ill-treat- ment of her husband's little girl by barning her, causing a blackeye and bruises. An inquest was held yesterday in Penton- vilie prison on the oouviot Spick who at the last Derbyshire Assizes was Bentenoed to 20 year*' penal .servitude, for attempting to murder his wife and mother-in-law at Ripley. He died from an abseesa on the brain.",English,SUMMARY.
1883-08-29,0000327- The Derby Daily Telegraph,krakatoa,1,"LATEST NEWS. ""Telegraph"" Officii, 1.0 P.M. MINISTERIAL CRISIS IN SPAIN. The Daily News Madrid correspondent says that the Ministerial crisis in Spain will end in the formation of a new Cabinet. The Spanish Liberals, he adds, affect to hope that King Alfonso will again send for Senor Segasta or some other Liberal leader. THE CHOLERA IN EGYPT. The Standard Cairo correspondent telegraphs that six doctors and 36 hospital assistants have arrived from India, and that although the cholera has now virtually disappeared from Lower Egypt their services will probably be retained. MONABCHICAL PLACARDS IN PARIS. Paris, Aug. 28, Evening. This evening's journals announce that notices have been placarded in various quarters of Paris invitiog the citizens to rally round the Monarchy under Louis Philippe 11., and that they were immediately torn down by the police. GREAT FIRE AT TOULOUSE. Toulouse, Aug. 23. Several mills caught fire here last night, par- ticularly the one belonging to the SociCtc Indus- trielle du Sud Ouest. A large quantity of flour and corn was destroyed and the loss is estimated at upwards of 2,000,000 francs. No one was injured. BOILER EXPLOSION ON BOARD AN EXCURSION STEAMER. New York, Tuesday. The boiler of an excursion steamer «n the Hudson River exploded this afternoon soon after leaving dock. There were several hundred passengers on board, but most were saved. The loss of life is unknown, the vessel having sunk. FRANCE AND TONQUIN. Paris, Tuesday night. The Ministerial Council, to-day, attended by the few Ministers now in Paris, had no official confirmation of the news in the Temps that the Hu<s Government had consented to treat with M. Harmand, neither was it known in what Bense a popular rising had occurred in Hue. Assuming the news to -be true, there is in any case no reason to believe that China had renounced her claim to suzerainty in Annam, and that con- stitutes a great difficulty.—Daily News telegram. THE ERUPTION OF KRAKATOA. Batavia, August 23. The eruption of the Krakatoa volcano, which commenced on the 26th, is of a formidable character. North Bantam is suffering heavily from a dense continuous shower of ashes, mud, and pumice stone, which almost ruined the crops and orchards, besides damaging the roads and bridges. A tidal wave has swept away the European quarter of Anjer and the Chinese camp at Merak. Telegraphic communication is now interrupted between Bantam and thi3 city. Batavia was in darkness for several hours yester- day owing to the thick rain of ashes proceeding from the volcano. The lower quarters of the city have been swamped by a tidal wave, but the godowns and entrepots are not damaged. THE MURDER OF CAREY. DEPARTURE OF O'DONNELL FROM CAPETOWN. Capetown, Tuesday Evening. O'Donnell sailed at five o'clock this evening in the Athenian, There was no disturbance. The court was crowded this morning when the application was made in effect asking for an inter- i diet to restrain the Governor from sending the I prisoner to England. After a shortargument the Court refused the application, mainly on the ground that the Government had discretion under the Fugitive Offenders Act, with which it could not interfere. The Athenian may be expected at Plymouth about the 18th of September.—Daily News telegram",English,LATEST NEWS.
1883-08-29,0000325- The Citizen Gloucester,krakatoa,1,"THE VOLCANIC DISTURBANCES IN JAVA: A TOWN DESTROYED BY A TIDAL WAVE ENORMOUS LOSS OF LIFE. SECOND EDITION. [TO-DAYS TELEGRAMS. J Batavia, Aug. 29. Intelligence from official sources announces that Anjer was completely destroyed by the tidal wave which followed the eruption of Krakatoa. There was great loss of life. The Merat quarries completely disappeared, all who were on the spot perishing. There has been an enormous loss of life among both Europeans and natives in North Bantam. Property also has been damaged to an immense extent.",English,THE VOLCANIC DISTURBANCES IN JAVA: A TOWN DESTROYED BY A TIDAL WAVE ENORMOUS LOSS OF LIFE.
